# Heston model
# Maturity = 10
# Interest_rate = 0.001 
# Start_vol = 0.05 
# long variance = 0.05 
# Rate mean reversion = 1.5 
# Volatility of vol = 0.6 
# Correlation = -0.5 
# Start_price = 100 
# Strike_price = 100 
# Option = Plainvanilla 
# Number of iterations = 20 
time_step,paths,time,option_value,variance
100,3000,15.467997999999994,28.036767559868487,5371.734865789558
200,1000,10.388995300000005,28.420164097701615,5542.351477638358
100,2000,10.352110899999985,24.827785072561074,4616.626459965173
200,1000,10.3863901,28.037224871046188,4765.321513284766
100,2000,10.346825200000012,29.76466882565446,5568.3064374026735
100,4000,20.872090500000013,26.653132356055583,5042.504121651549
100,3000,15.500207599999982,28.21551897895829,5326.096277637459
200,1000,10.368743800000004,27.659777143891276,5746.607750907356
100,2000,10.364925999999997,27.289913344103173,4989.526401797119
100,3000,15.547590799999995,27.236057249927097,5041.062690839044
200,1000,10.39704309999999,27.81092672568454,5465.98356611668
100,2000,10.345525600000002,28.004236093938722,5188.562176823567
100,4000,20.78942909999998,28.016876863646576,5404.0821506712255
200,1000,10.37054759999998,29.071793036614856,5870.2622780362235
100,2000,10.367018000000002,27.8865576623758,5214.694300525697
100,3000,15.510696499999995,27.07504497089675,4993.929751529011
200,1000,10.34371489999998,25.994878228162655,4437.839751450119
100,2000,10.377354499999996,24.69965644994621,4508.427090841394
100,4000,20.856561999999997,27.93454257783181,5237.501987874741
100,3000,15.49327919999999,26.268312532067892,5011.1347912787505
200,1000,10.3427298,27.16562387823524,4552.217628010186
200,1000,10.347469500000017,31.16382194758913,6394.246338014217
200,2000,20.734555099999994,25.370379153436172,4474.467105860176
100,4000,20.841334499999988,28.12097937196555,5210.022664211485
100,3000,15.45889919999999,25.48112520880479,4866.473729853706
200,1000,10.368788800000004,28.8689471922451,5452.507026413659
100,3000,15.525747300000006,29.50518751893332,5548.608146254235
200,1000,10.343401499999999,27.56355335038027,5805.728910064412
200,2000,20.634700900000013,26.38554501111494,5032.778274435902
100,4000,20.7965533,27.314090071553814,5059.631921336196
200,1000,10.351833099999993,27.020995462217645,5563.230994493546
100,3000,15.459385700000013,26.783817739845155,5003.613344939352
200,1000,10.419162800000038,26.707911353425605,5019.879694183411
200,2000,20.8397023,25.260560011462236,5258.937644505949
100,4000,20.959106700000007,27.00968631226806,4985.952896480964
100,3000,15.713569899999982,27.365352505879418,5059.791645262126
200,1000,10.356017100000031,27.222162903636455,4902.30669673828
200,1000,10.352381499999979,30.34571735856887,6279.335374315811
200,2000,20.729432099999997,25.519207475361487,4585.865681507351
100,4000,20.837586799999997,25.93818627619642,4897.320375548398
100,3000,15.464527299999986,27.77727348574992,5285.785620662846
200,1000,10.31319000000002,24.772041176187102,4789.807697708528
100,3000,15.546868299999971,25.333300441939063,4604.3266717162
200,1000,10.339874599999973,25.416970670444325,4896.988720163957
200,2000,20.74637519999999,27.069017701512347,5058.189134879295
100,4000,20.787266699999975,25.47187335088844,4807.326331494103
300,1000,15.452814699999976,27.105698190430875,5512.525258323468
200,2000,20.664518000000044,26.75182826138863,4727.562053548567
100,4000,20.79620090000003,28.412584101547253,5344.7833492507525
200,3000,30.98308030000004,24.92595601313136,4438.320398221165
300,1000,15.495325400000013,26.509163367875498,4871.261932717878
200,2000,20.79915299999999,27.16272619837227,5339.355794078363
100,4000,20.91507290000004,26.610703728295388,4895.421400238437
300,1000,15.611150400000042,25.30052600323625,4466.90416283485
200,3000,31.08056899999997,27.699847169174124,5277.6021093320805
300,1000,15.572821000000033,22.855993267537052,4676.487634332666
200,2000,20.81157280000002,28.07276487032615,5722.987204859602
100,4000,20.90019369999999,26.95263863315346,4939.751753725309
300,1000,15.47614329999999,25.257181035581738,4789.428211951935
200,2000,20.74430700000005,27.82379913323435,5506.965826326585
100,4000,20.815985300000023,27.50257268154438,5060.817062342808
200,3000,30.91194200000001,26.133045777011052,5079.752884719659
300,1000,15.46068009999999,27.062221653115692,4953.079846159955
200,2000,20.677891599999953,25.43675205607496,4451.067771441767
100,4000,20.89211979999999,26.188582734838928,4817.728558247784
300,1000,15.466574999999978,25.640244673526052,5096.309243594207
200,3000,31.011041999999975,25.126118952068605,4589.63075424136
300,1000,15.505394199999955,24.74147653533599,4174.122971515441
200,2000,20.6422728,26.599678302608584,4460.751558773072
300,1000,15.468395500000042,29.04664558325285,5467.2743757289645
200,2000,20.712102900000048,29.670522297934404,5649.983028795924
200,4000,41.58645039999999,25.625018767291397,4557.097371378497
200,3000,30.919001300000048,27.54665942323168,5097.801285586815
300,1000,15.495248600000025,27.3790079732991,5128.0536797206105
200,2000,20.686311999999987,27.94431291466801,5055.868802100337
300,1000,15.493414500000029,24.98825577155298,4207.165886028888
200,3000,30.98468059999999,26.57661028369339,4775.644086196489
300,1000,15.473480399999971,27.73630802771982,5340.3398550409265
200,2000,20.729527599999983,27.57406490915814,5529.032049854442
200,4000,41.64271059999999,27.381613993979,5154.480384197721
300,1000,15.531061499999964,25.582586293608482,4314.738092531485
200,2000,20.809000499999968,27.957862849125966,5672.69477511507
200,3000,30.979627800000003,27.845030849670742,5497.4440737075665
300,1000,15.48447710000005,27.315217847402398,5256.943992007675
200,2000,20.742775800000004,26.90252660092843,4924.691460754187
200,4000,41.645298699999955,26.407383292901685,5007.682161537753
300,1000,15.576084400000013,24.192037133954166,4325.332159841493
200,3000,31.01336959999992,27.924042575626814,5692.35708930599
300,1000,15.51077470000007,29.83150272804409,5219.560469529465
200,2000,20.675627100000042,27.461800647786234,5085.381218537569
300,1000,15.48994899999991,28.432771976824508,4999.459212960113
200,2000,20.670637499999998,28.914994845155867,6108.863505714845
200,4000,41.70988990000001,26.07890024336452,4758.626034490998
200,3000,30.915827400000012,27.43655181379929,5357.699152634422
300,1000,15.422353999999928,26.94231534968264,4768.524932744096
200,2000,20.73431240000002,25.171706807016236,4762.806933128408
300,1000,15.499439499999994,28.46848136621836,5038.793691239551
